,RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
351,420,Sour Cream Carrot Cake,1543,Doreen Randal,PT50M,PT30M,PT1H20M,1999-09-08T15:16:00Z,Make and share this Sour Cream Carrot Cake recipe from Food.com.,character(0),Dessert,"c(""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""3/4"", ""1/2"", ""1/2"", ""1"", ""1"", ""1/2"", ""1 1/2"", ""1/2"", ""2"", ""1/2"", ""60"", ""30"", ""1"", ""1 1/2"")","c(""self raising flour"", ""plain flour"", ""baking soda"", ""cinnamon"", ""nutmeg"", ""brown sugar"", ""carrots"", ""eggs"", ""sour cream"", ""cream cheese"", ""butter"", ""lemon, rind of"", ""icing sugar"")",4.5,4.0,441.7,23.6,7.3,70.2,180.0,54.4,1.5,37.4,4.6,,,"c(""Grease a 20cm ring tin, line the base with paper; grease paper."", ""Sift flours, soda, cinnamon and nutmeg into a bowl, stir in sugar and  carrot. Combine oil, eggs and sour cream and stir into flour mix."", ""Pour mixture into ring tin, bake in a moderately slow oven about 50  minutes."", ""Turn on to rack to cool."", ""When cold spread with icing and  decorate with walnut halves."", ""CREAM CHEESE ICING:-  Beat cheese, butter and lemon rind in a small bowl until light and  fluffy, gradually beat in sifted icing sugar; beat until combined."", 
""**  I don't bother icing this, good one."")"
359,429,Apple-Cinnamon Bread Pudding,1545,Nancy Van Ess,,PT1H10M,PT1H10M,1999-09-18T11:16:00Z,Make and share this Apple-Cinnamon Bread Pudding recipe from Food.com.,character(0),Dessert,"c(""Apple"", ""Fruit"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1 1/4"", NA, ""1/3"", ""1"", ""3"", ""4"", ""2"", ""1"", ""9"")","c(""gala apples"", ""granny smith apples"", ""sugar"", ""cinnamon"", ""butter"", ""margarine"", ""eggs"", ""vanilla extract"")",3.5,4.0,210.1,8.1,4.0,88.4,153.7,29.5,2.5,16.5,6.1,10.0,,"c(""Place oven rack in middle position."", ""Heat oven to 350 degrees Fahrenheit."", ""Lightly  grease 9 or 10\"" deep-dish pie plate. Have ready a roasting pan larger than the pie plate."", ""In a large bowl, toss apple slices with 2 tablespoons cinnamon-sugar."", ""Place a large skillet over medium heat."", ""Add 1 tablespoon butter; spread half of the apples to cover bottom."", ""Cook 1 minute per side or until partially cooked."", ""Remove to a large plate."", ""Repeat with another 1 tablespoon butter and remaining apples."", 
""Add to plate."", ""Meanwhile, put eggs,  milk, vanilla and remaining cinnamon-sugar in the bowl."", ""Add remaining 1  tablespoon melted butter; whisk until ingredients are well blended."", ""Spread bread cubes in pie plate."", ""Arrange apple slices in concentric circles on top."", ""Pour egg mixture evenly over apples; sprinkle with  reserved 1 teaspoon cinnamon-sugar."", ""Set pie plate in roasting pan."", ""Place pan on middle rack of oven; add very hot water to roasting pan to come half way up sides of pie plate."", 
""Bake for 40 to 45 minutes until a knife inserted near  center comes out clean."", ""Remove pie plate from water."", ""Serve warm, at room  temperature, or cold."")"
397,473,Luscious Apricot Squares,11297,Jen T,PT1H5M,PT1H10M,PT2H15M,1999-09-10T04:30:00Z,"I adopted this recipe late 2005 and finally made it in February 2006.  I haven't changed a thing as it is great the way it is written. 
This slice has a shortcake like base with a cake-like apricot caramel top.  Goes well with a dollop of whipped cream on top for a treat or dessert or leave plain and enjoy. :)",character(0),Bar Cookie,"c(""Dessert"", ""Cookie & Brownie"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""2/3"", ""1 1/3"", ""1/2"", ""1/4"", ""1"", ""2"", ""1/2"", ""1/2"", ""1/2"", ""1/4"", NA)","c(""all-purpose flour"", ""butter"", ""margarine"", ""sugar"", ""light brown sugar"", ""eggs"", ""walnuts"", ""baking powder"", ""vanilla"", ""salt"", ""confectioners' sugar"")",5.0,2.0,199.5,8.9,4.1,38.5,111.9,28.6,0.9,19.5,2.7,,16 squares,"c(""In covered small saucepan over low heat, in enough water to cover, cook apricots 15 minutes."", ""Drain apricots; finely chop."", ""Preheat oven to 350 degrees Fahrenheit."", ""Grease an 8 x 8 inch pan."", ""Into large bowl, measure 1 cup flour, butter or margarine and sugar."", ""With mixer at medium speed, beat ingredients until well mixed and crumbly."", ""Pat evenly into pan."", ""Bake 25 minutes or until golden brown."", ""Meanwhile, in the same bowl, measure 1/3 cup flour, eggs, apricots, brown sugar, walnuts, baking powder, vanilla, and salt."", 
""Beat at medium speed until well mixed, occasionally scraping bowl with a rubber spatula."", ""Pour mixture over baked layer and return to oven."", ""Bake 25 minutes longer until golden."", ""Cool in pan."", ""Cut into squares."", ""Sprinkle with confectioner's sugar."")"
402,480,Italian Sausage Soup,1545,Nancy Van Ess,,PT1H15M,PT1H15M,1999-09-18T11:20:00Z,Make and share this Italian Sausage Soup recipe from Food.com.,character(0),Pork,"c(""Meat"", ""European"", ""Low Cholesterol"", ""Healthy"", ""Weeknight"", ""< 4 Hours"")","c(""2"", ""2"", ""5"", ""1"", ""1 1/2"", ""28"", ""1"", ""1"", ""1"", ""2"", ""2"", ""1/2"", NA)","c(""onions"", ""garlic cloves"", ""beef broth"", ""Italian sausage"", ""dry red wine"", ""Italian-style tomatoes"", ""basil"", ""sugar"", ""green pepper"", ""zucchini"", ""dry bow tie pasta"", ""parsley"")",5.0,17.0,506.7,22.2,7.4,43.8,1698.5,44.8,4.2,13.2,22.6,6.0,,"c(""In a 5-6 quart pan, combine onions, garlic and 1 cup broth."", ""Boil on high heat, stirring occasionally, until liquid evaporates and vegetables start to brown, about 10 to 14 minutes."", ""To deglaze pan, stir in 3 tablespoons water to release browned bits."", ""Cook, uncovered, until liquid evaporates and mixture begins to brown again, about 1 minute."", ""Repeat deglazing step 3 more times until mixture is richly browned."", ""Add  sausage and 1/2 cup more water."", ""Stir gently until liquid evaporates and meat begins to brown, 8 to 10 minutes."", 
""Add remaining 4 cups broth."", ""Stir to loosen browned bits."", ""Add wine, tomatoes and their liquid, basil, sugar, green pepper, zucchini and pasta."", ""Cover and  bring to boil over high heat."", ""Simmer until pasta is just tender to bite, about 15 minutes."", ""Serve hot, with chopped parsley, salt and pepper."", ""(If made ahead, cool, cover and chill up until the next day. Reheat to  simmering)."")"
405,483,Tomato and Herb Salad,1587,rosasharn,,PT25M,PT25M,1999-08-09T16:39:00Z,Make and share this Tomato and Herb Salad recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/3/pic8fs8f6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/3/pic8TW0zx.jpg"")",Vegetable,"c(""Free Of..."", ""< 30 Mins"")","c(""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1/4"", ""1/8"", ""1/3"")","c(""roma tomato"", ""cucumber"", ""purple onion"", ""of fresh mint"", ""fresh basil"", ""fresh parsley"", ""salt"", ""black pepper"", ""plain nonfat yogurt"")",4.5,2.0,34.5,0.3,0.1,0.3,113.2,7.2,1.4,4.4,1.9,6.0,,"c(""Cut each tomato into 4 wedges; cut each wedge in half crosswise."", ""Cut  cucumber in half lengthwise; cut each piece in half lengthwise, and  slice crosswise into 1/2\"" pieces."", ""Combine tomatoes, cucumber, purple onion, mint, basil and parsley in a large bowl; sprinkle with salt and pepper."", ""Add yogurt, toss gently."", ""Serve  immediately."")"
410,489,Butter Crepes,1601,Gilcat2,PT1H1M,PT10M,PT1H11M,1999-09-15T06:34:00Z,Make and share this Butter Crepes recipe from Food.com.,character(0),Breakfast,"c(""Dessert"", ""Weeknight"", ""For Large Groups"", ""< 4 Hours"", ""Easy"")","c(""4"", ""2"", ""2"", ""1/2"", ""1/4"")","c(""eggs"", ""flour"", ""milk"", ""butter"", ""salt"")",1.0,1.0,116.5,6.6,3.8,57.9,88.0,10.8,0.3,0.1,3.4,20.0,,"c(""Place all ingredients in blender; whirl for 1 minute."", ""Scrape down sides, then blend for another 15 seconds."", ""Refrigerate 1 hour."", ""Heat a lightly greased 6 inch skillet; remove from heat."", ""Spoon in 2 Tbsp batter; lift and tilt skillet to spread evenly."", ""Return to heat; brown on one side only."", ""To remove, invert pan over paper toweling."", ""Repeat with remaining batter."", ""Delicious filled with any flavor fruit jam, sweetened fresh peaches, cream cheese and pineapple, ham or maple syrup.""
)"
414,493,Curried Peanut Shrimp,1556,Strawberry Girl,PT33M,PT20M,PT53M,1999-08-19T05:23:00Z,Make and share this Curried Peanut Shrimp recipe from Food.com.,character(0),Oranges,"c(""Citrus"", ""Fruit"", ""Nuts"", ""Summer"", ""< 60 Mins"")","c(""1/3"", ""1/4"", ""2"", ""1"", ""1 1/2"", ""1"", ""1/2"", ""1/4"", ""1/4"", ""32"")","c(""orange marmalade"", ""Dijon mustard"", ""curry powder"", ""salt"", ""shrimp"")",5.0,2.0,121.5,1.9,0.2,60.5,620.4,20.4,0.6,17.4,7.0,,4 servings (Serving si,"c(""Combine marmalade, orange juice, peanut butter, mustard, curry powder, vegetable oil, salt, peppers, and chili sauce in a blender."", ""Process until smooth."", ""Reserve 1/4 cup marinade."", ""Place remaining marinade mixture in a large zip-top plastic bag; add the shrimp."", ""Seal bag and shake to coat."", ""Marinate in refrigerator 30 minutes."", ""Prepare grill or broiler."", ""Remove shrimp from bag, reserving marinade."", ""Thread shrimp onto each of 4  (12-inch) skewers."", ""Place kebabs on a grill rack or broiler pan coated with cooking spray."", 
""Cook 3 minutes on each side or until shrimp are done, basting  frequently with remaining marinade."", ""Spoon reserved 1/4 cup marinade over shrimp."")"
424,503,Curried Beef and Chicken Satay,1567,elly9812,,PT30M,PT30M,1999-09-15T04:43:00Z,"Every country or region has at least one dish that becomes symbolic. For SE  Asia, symbolic foods would have to include satay. Popular in Malaysia,  Singapore and Indonesia, it's a great treat when served hot from a charcoal  grill. There are numerous ways of preparing this dish; the recipe below is  only one of them.",character(0),Poultry,"c(""Meat"", ""Thai"", ""Asian"", ""Potluck"", ""Spring"", ""Summer"", ""< 30 Mins"")","c(""1"", ""1"", ""3"", ""1/2"", ""2"", ""2"", ""4"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1/4"", ""1"", ""1/2"", ""1/4"")","c(""beef"", ""chicken"", ""curry powder"", ""chile"", ""garlic cloves"", ""onions"", ""lemon juice"", ""honey"", ""peanut butter"", ""coconut milk"", ""coconut cream"", ""lemon juice"", ""soy sauce"", ""Worcestershire sauce"", ""chili sauce"", ""salt"")",4.0,6.0,1582.1,142.9,55.9,197.4,1620.4,32.1,7.0,14.9,51.2,4.0,,"c(""Slice the meat into thin strips, no more than 1/4\"" thick and about 1/2\"" wide for  both the beef and chicken."", ""Combine the curry powder, chilies, garlic, onions,  salt, lemon juice, and honey in a large bowl."", ""Add the meat strips and toss well  to marinate for about fifteen minutes."", ""Thread meat strips onto bamboo skewers,  3 or 4 pieces per skewer."", ""Arrange the finished skewers in a glass casserole;  cover with the remaining marinade, and refrigerate while making the sauce.  Brown under a broiler or grill the meat skewers."", 
""Serve with a peanut butter  sauce for dipping (see below). Sauce: Blend all ingredients together well to  make a smooth sauce. Keep refrigerated until needed, but warm before serving."")"
425,504,Baked Alaska Salmon Fillet With Mustard Sauce,1554,Jacques Lorrain,PT15M,PT30M,PT45M,1999-08-17T04:07:00Z,Make and share this Baked Alaska Salmon Fillet With Mustard Sauce recipe from Food.com.,character(0),Free Of...,"c(""< 60 Mins"", ""Oven"", ""Easy"")","c(""6"", ""1 1/2"", ""1 1/2"", ""1"", ""1"", NA, ""6"", ""1/2"", ""3/4"", ""1/8"", ""1/8"", NA, NA, NA)","c(""salmon fillets"", ""lemon"", ""butter"", ""shallot"", ""dry white wine"", ""heavy cream"", ""stone ground mustard"", ""chives"", ""parsley"", ""salt"", ""miniature pear tomato"", ""parsley sprig"")",4.0,2.0,613.9,35.1,13.3,217.9,272.3,3.5,1.0,0.4,64.3,6.0,,"c(""Arrange salmon fillets in baking pan, drizzle with combined butter and oil."", ""Top with lemon slices."", ""Bake in 400 degree Fahrenheit oven 15 minutes or until flesh is no longer translucent."", ""Mustard Sauce:"", ""Lightly saute shallots in butter; add wine and reduce until nearly evaporated."", ""Add cream; cook and stir until thickened."", ""Add mustard, chives, and parsley."", ""Season to  taste with salt."", ""To Serve:"", ""Ladle serving of sauce on serving plate; arrange lemon topped salmon on sauce."", 
""Garnish with pear tomatoes and parsley sprigs."")"
426,505,Chicken Satay With Peanut Sauce,1567,elly9812,PT5M,PT30M,PT35M,1999-09-15T04:43:00Z,Make and share this Chicken Satay With Peanut Sauce recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/5/pic6LydaU.jpg""",Chicken Breast,"c(""Chicken"", ""Poultry"", ""Fruit"", ""Meat"", ""< 60 Mins"")","c(""1"", ""2"", ""2"", ""2"", ""1"", ""1"", ""2"", ""2"", ""1"", ""1"", ""1"")","c(""boneless skinless chicken breast"", ""peanut butter"", ""fresh coriander"", ""honey"", ""soya sauce"", ""garlic"", ""gingerroot"", ""sesame seeds"")",4.5,4.0,174.4,6.5,1.3,52.8,231.6,5.5,0.5,4.2,23.1,5.0,,"c(""Preheat oven to 425 degrees Fahrenheit (220 degrees Celsius)."", ""Spray baking pan with vegetable spray."", ""In a small bowl or food processor, combine peanut butter, chicken stock,  coriander, rice wine vinegar, honey, sesame oil, soya sauce, garlic, ginger and sesame  seeds."", ""Set 3 tablespoons (45 mL) aside."", ""Cut chicken into 1 inch (2.5 cm) cubes."", ""Thread onto 10 small bamboo or barbecue skewers."", ""Place skewers in prepared pan."", ""Brush with half of the  peanut sauce that has been set aside."", 
""Bake approximately 5 minutes."", ""Turn over and brush with the remaining 1-1/2 tablespoons (20 mL) sauce."", ""Bake 5 more minutes or just until chicken is done."", ""Serve with remaining peanut sauce."")"
445,528,Corn and Potato Chowder,1562,Libby1,PT27M,PT15M,PT42M,1999-09-20T19:30:00Z,Make and share this Corn and Potato Chowder recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/8/pica4yzbf.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/8/picUF0CFB.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/8/picospDEX.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/8/picHP0gbe.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/8/picnrQfEG.jpg""
)",Chowders,"c(""Potato"", ""Corn"", ""Vegetable"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 60 Mins"")","c(""2"", ""1"", ""1"", ""1/2"", ""2"", ""15"", ""1"", ""1"")","c(""bacon"", ""onion"", ""potato"", ""red bell pepper"", ""milk"", ""corn"", ""corn"", ""fresh thyme"")",5.0,10.0,314.2,10.7,4.7,24.8,493.9,50.1,4.5,7.2,10.2,4.0,,"c(""Cook bacon in heavy large saucepan over medium heat until fat is   rendered, about 3 minutes."", ""Add onion and cook until tender, stirring occasionally, for about 8 minutes."", ""Add potato and bell pepper and saute 1  minute."", ""Add 2 cups of milk and bring to a boil."", ""Reduce heat and simmer until vegetables are tender and soup thickens slightly, stirring occasionally, about 15 minutes."", ""Add creamed corn, fresh or frozen corn kernels, and 1 tablespoon thyme (or 1 teaspoon dried thyme) to soup."", 
""Simmer until heated through."", ""Season to taste with   salt and pepper If soup is too thick, thin with additional milk."")"
461,545,Greek Salad,1646,WildlifeDi,PT30M,PT1H30M,PT2H,1999-08-12T07:10:00Z,"This is quite lengthy and I have not given this out in 25 years of coveting  it so   consider yourself lucky!  LOL  Greek Salad Louis Pappas Restaurant Tarpon Springs, Florida   Potato Salad for center of salad",character(0),Lunch/Snacks,"c(""Potato"", ""Vegetable"", ""Greek"", ""European"", ""Weeknight"", ""< 4 Hours"")","c(""6"", ""4"", ""1/4"", ""1/2"", ""1/2"", ""1"", ""12"", ""2"", ""1"", ""1"", ""4"", ""1"", ""4"", ""4"", ""4"", ""12"", ""12"", ""4"", ""4"")","c(""boiling potatoes"", ""green bell peppers"", ""parsley"", ""green onion"", ""head of lettuce"", ""watercress"", ""tomatoes"", ""cucumber"", ""avocado"", ""feta cheese"", ""green pepper"", ""beets"", ""jumbo shrimp"", ""anchovy fillets"", ""radishes"", ""green onions"")",5.0,9.0,1042.6,61.9,36.5,266.0,3113.8,79.0,13.7,23.9,49.7,4.0,,"c(""Boil potatoes in skins for 30 minutes."", ""Drain, cool and cut into slices in a  bowl."", ""Add peppers, onions and parsley."", ""Fold in salad dressing and lightly  salt if wanted."", ""Should be about 3 cups Salad ingredients needed 1 head of lettuce shredded, saving the good outer leaves 12 sprigs of watercress 2 tomatoes cut into 12 wedges 1 cucumber cut into 8 fingers 1 avocado cut into 8 wedges 4 portions of Feta cheese, blocks are good for slicing into squares 1 green pepper cut into 8 rings 4 slices of cooked beets (bottled is fine) 4 jumbo cooked shrimp 4 anchovy fillets 12 Greek olives 12 Salonika peppers 4 radishes cut into rosettes 4 whole green onions Line platter or LARGE (this is a meal!) bowl with the outside of the lettuce  leaves."", 
""Place the 3 cups of potato salad in a mound in the center of the  lettuce.  Cover with the remaining shredded lettuce, mounding it up high."", ""Arrange the watercress on top."", ""Place the tomato wedges around the bottom  outer edge of the lettuce.  Place the cucumber fingers in-between the  tomatoes standing upright on the lettuce.  Put avocado around the same way so  you have tomato, cucumber, avocado repeating all round."", ""Place the 4 fetas  around  the top in a circle.  Add the beets on the feta and the shrimp on the beet.   Place the anchovy on top of the shrimp/beet/feta."", 
""Place the olives, peppers,  green onions as desired."", ""This is a beautiful dish."", ""You will see the empty  spots to fill."", ""Dressing 1/4 cup white vinegar 1/4 cup olive oil  1/4 cup vegetable oil oregano   Blend the two oils."", ""Sprinkle the entire salad with the vinegar then with the  blended oils."", ""Sprinkle oregano all over."", ""Serve immediately."", ""If you want to  make it early  in the day, wait until serving time to do the feta, beet, shrimp, anchovy."", ""The beet will stain the cheese.  We find it hard to destroy this work of art until we remember how wonderful  it is!! Serve with toasted garlic bread for a meal."", 
""Diane Pyburn"")"
464,548,Grilled Bourbon Salmon,1612,JANIC412,PT1H7M,PT20M,PT1H27M,1999-08-31T21:12:00Z,Make and share this Grilled Bourbon Salmon recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/8/pic6LZJLm.jpg""",Pineapple,"c(""Tropical Fruits"", ""Fruit"", ""Weeknight"", ""Broil/Grill"", ""Oven"", ""< 4 Hours"")","c(""1/4"", ""2"", ""2"", ""1"", ""1/4"", ""1/8"", ""1/2"", ""1"")","c(""soy sauce"", ""brown sugar"", ""Bourbon"", ""fresh cracked pepper"", ""garlic powder"", ""salmon fillet"")",5.0,22.0,429.3,32.3,4.5,52.3,590.4,9.4,0.1,8.4,24.4,4.0,,"c(""Combine juice, soy, brown sugar, bourbon, pepper, garlic powder and oil in a bowl."", ""Remove all skin from the salmon."", ""Place the salmon in a glass dish side by side. Pour some of the marinade over (reserve some for basting while grilling). Refrigerate for at least 1 hour a few hours will be even better."", ""Drain and grill over med.-high about 5-7 minutes per side or until fish flakes-basting with the reserved marinade."")"
468,552,Garlic Cauliflower,1533,Dancer,PT7M,PT5M,PT12M,1999-08-11T19:56:00Z,Make and share this Garlic Cauliflower recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/55/2/picEYk4VI.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/55/2/picZcB6I0.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/55/2/pic1SgpYJ.jpg"")",Cauliflower,"c(""Vegetable"", ""Lactose Free"", ""Free Of..."", ""< 15 Mins"", ""Easy"")","c(""2"", ""1 1/4"", ""1"", ""3"", ""1/4"", ""1/4"")","c(""olive oil"", ""cauliflower florets"", ""red bell pepper"", ""garlic cloves"", ""water"")",4.5,13.0,68.0,2.8,0.4,0.0,44.1,9.6,3.5,4.0,3.2,4.0,,"c(""Heat oil in a heavy nonstick skillet over medium high heat."", ""Saute next 4 ingredients 2-3 minutes, stirring frequently."", ""Add stock, cover skillet and cook another 3-4 minutes or until cauliflower is tender."")"
472,558,German Potato-Cheese Soup,1549,Dave5003,PT40M,PT30M,PT1H10M,1999-08-17T04:36:00Z,Make and share this German Potato-Cheese Soup recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/55/8/piceCJz28.jpg""",Potato,"c(""Vegetable"", ""German"", ""European"", ""Weeknight"", ""< 4 Hours"")","c(""4"", ""20"", ""4"", ""1/2"", ""3"", ""4"", ""1"", ""2"", ""1"", ""1"", ""1/2"", ""1/2"", ""1/4"", ""4"")","c(""water"", ""chicken broth"", ""pepper"", ""carrots"", ""potatoes"", ""onion"", ""celery"", ""mayonnaise"", ""processed cheese"", ""cheddar cheese"", ""swiss cheese"")",5.0,24.0,335.8,20.6,9.7,45.8,775.8,24.2,2.7,5.6,14.3,12.0,,"c(""Peel and prepare vegetables."", ""In a large cooking pot, add water, chicken broth,  chicken soup base, black pepper, carrots, potatoes, onions and bring to boil."", ""Reduce heat and simmer for 15 minutes or until vegetables are tender; stirring  occasionally."", ""Add celery, sweet red pepper and simmer for 5 minutes more.   Gradually add mayonnaise to hot soup, whisking until smooth."", ""Reduce heat to  medium and add processed cheese, sharp cheddar cheese and Swiss cheese and  simmer for 5 minutes or until cheese melts and soup is creamy; stirring  constantly."", 
""Add instant mashed potatoes and stir well."", ""Let soup sit for 15 minutes before serving."", ""This soup is very rich, but good."", ""Refrigerate any unused portion."", ""Serves 12"")"
475,561,Golden Baked Fish,1539,opal Fitzgerald,PT20M,PT30M,PT50M,1999-09-07T20:49:00Z,This is a topping rather than a batter.  It was  a recipe from the Savings pack in with my Taste of Home Magazine.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/1/pic7DAqOf.jpg""",< 60 Mins,"""Oven""","c(""2"", ""1/8"", ""1"", ""1/2"", ""1/4"", ""1/4"", ""1/2"", NA, NA)","c(""pepper"", ""salt"", ""mayonnaise"", ""dill weed"", ""onion"", ""fresh dill"", ""lemon wedge"")",5.0,7.0,299.8,6.9,1.1,128.5,294.9,3.6,0.0,1.0,52.8,4.0,,"c(""Place fish in a greased 13-in X 9-in x 2 baking dish; sprinkle with pepper."", ""Beat egg white with salt if desired until stiff peaks form."", ""Fold in mayonnaise, dill and onion juice, spoon over fish."", ""Bake uncovered at 425 degrees for 15 to 20 minutes or until topping is puffed and golden and fish flakes easily with a fork."", ""Garnish with dill and lemon if desired."")"
494,581,Garlic Potato Balls,1552,Ron  Joyce Ripple S,PT15M,PT5M,PT20M,1999-08-23T12:42:00Z,Make and share this Garlic Potato Balls recipe from Food.com.,character(0),Potato,"c(""Vegetable"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Free Of..."", ""< 30 Mins"", ""Easy"")","c(""1"", ""1"", ""1/4"", ""1/2"")","c(""butter"", ""margarine"", ""small whole potatoes"", ""fresh parsley"")",4.0,1.0,208.8,6.0,3.7,15.3,87.4,35.9,5.5,2.6,3.9,2.0,,"c(""In a skillet, melt butter over medium heat."", ""Add potatoes and sprinkle with garlic salt."", ""Cook and stir for 15-18 minutes or until golden brown."", ""Garnish with parsley."")"
521,608,Five Bean Salad,1636,carlanna livingstone,,PT20M,PT20M,1999-09-20T19:38:00Z,I am the third generation using this wonderful recipe.  It is soooo simple and delicious.  Its not overly oily like most are.  Overnight chilling time not included in preparation time.,character(0),Beans,"c(""< 30 Mins"", ""Easy"")","c(""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1/2"", ""1/2"", ""3/4"", ""1"", ""1"", ""1"", ""1 -2"")","c(""green beans"", ""lima beans"", ""kidney beans"", ""garbanzo beans"", ""onion"", ""green pepper"", ""vinegar"", ""sugar"", ""salt"", ""pepper"", ""dry mustard"", ""celery seed"")",5.0,11.0,256.2,10.1,1.3,0.0,499.3,36.7,7.2,14.9,6.6,12.0,1 salad,"c(""Drain all the beans and combine in a large bowl."", ""Heat (but do not boil) (I do it in the microwave for about 1 minute) vegetable oil, vinegar, sugar, salt, pepper, dry mustard, and celery seed."", ""Mix with bean mix and let stand overnight."", ""Add onion/pepper about an hour before serving."")"
532,619,Egg Drop Soup,1629,Joy Boss,,PT20M,PT20M,1999-09-01T11:44:00Z,Make and share this Egg Drop Soup recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/61/9/picF1itID.jpg""",Clear Soup,"c(""Chinese"", ""Asian"", ""Very Low Carbs"", ""< 30 Mins"", ""Easy"")","c(""3"", ""1"", ""1"", ""1"", ""2"")","c(""chicken broth"", ""salt"", ""white pepper"", ""green onion"", ""eggs"")",5.0,25.0,88.4,4.6,1.4,124.0,1569.9,1.6,0.1,0.9,9.2,3.0,3 cups,"c(""Heat chicken broth, salt, and white pepper to boiling in a 2-quart saucepan."", ""Stir green onions into eggs."", ""Pour egg mixture slowly into broth, stirring constantly with fork until egg forms shreds."", ""Makes about 3 cups deb"")"
